"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","37943","0.0-0.0","267E6DD1BEE049BE916CC50C2F755ED2","267E6DD1BEE049BE916CC50C2F755ED2","1fa982a2-6285-41e2-b4f3-f0e5c73224db","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""267E6DD1BEE049BE916CC50C2F755ED2"",""assignmentId"":""1fa982a2-6285-41e2-b4f3-f0e5c73224db"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=267E6DD1BEE049BE916CC50C2F755ED2&assignmentId=1fa982a2-6285-41e2-b4f3-f0e5c73224db&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","267E6DD1BEE049BE916CC50C2F755ED2-2025-08-07-19-05-22","","","","","","",""
"","","","","","instructions","1","81146","0.0-1.0","267E6DD1BEE049BE916CC50C2F755ED2","267E6DD1BEE049BE916CC50C2F755ED2","1fa982a2-6285-41e2-b4f3-f0e5c73224db","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""267E6DD1BEE049BE916CC50C2F755ED2"",""assignmentId"":""1fa982a2-6285-41e2-b4f3-f0e5c73224db"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=267E6DD1BEE049BE916CC50C2F755ED2&assignmentId=1fa982a2-6285-41e2-b4f3-f0e5c73224db&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","267E6DD1BEE049BE916CC50C2F755ED2-2025-08-07-19-05-22","[{""page_index"":0,""viewing_time"":43202}]","43202","","","","",""
"","","","","","instructions","2","84377","0.0-2.0","267E6DD1BEE049BE916CC50C2F755ED2","267E6DD1BEE049BE916CC50C2F755ED2","1fa982a2-6285-41e2-b4f3-f0e5c73224db","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""267E6DD1BEE049BE916CC50C2F755ED2"",""assignmentId"":""1fa982a2-6285-41e2-b4f3-f0e5c73224db"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=267E6DD1BEE049BE916CC50C2F755ED2&assignmentId=1fa982a2-6285-41e2-b4f3-f0e5c73224db&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","267E6DD1BEE049BE916CC50C2F755ED2-2025-08-07-19-05-22","[{""page_index"":0,""viewing_time"":3231}]","3231","","","","",""
"true","","","","","fullscreen","3","90840","0.0-3.0","267E6DD1BEE049BE916CC50C2F755ED2","267E6DD1BEE049BE916CC50C2F755ED2","1fa982a2-6285-41e2-b4f3-f0e5c73224db","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""267E6DD1BEE049BE916CC50C2F755ED2"",""assignmentId"":""1fa982a2-6285-41e2-b4f3-f0e5c73224db"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=267E6DD1BEE049BE916CC50C2F755ED2&assignmentId=1fa982a2-6285-41e2-b4f3-f0e5c73224db&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","267E6DD1BEE049BE916CC50C2F755ED2-2025-08-07-19-05-22","","5456","","","","",""
"","","","","","initialize-microphone","4","99477","0.0-4.0-0.0","267E6DD1BEE049BE916CC50C2F755ED2","267E6DD1BEE049BE916CC50C2F755ED2","1fa982a2-6285-41e2-b4f3-f0e5c73224db","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""267E6DD1BEE049BE916CC50C2F755ED2"",""assignmentId"":""1fa982a2-6285-41e2-b4f3-f0e5c73224db"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=267E6DD1BEE049BE916CC50C2F755ED2&assignmentId=1fa982a2-6285-41e2-b4f3-f0e5c73224db&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","267E6DD1BEE049BE916CC50C2F755ED2-2025-08-07-19-05-22","","","704c77384f5c27ef8d01815ef5fb3a745786c357a1bfc74f7056475ee12b8aeb","","","",""
"","","","","","html-audio-response","5","108714","0.0-4.0-1.0","267E6DD1BEE049BE916CC50C2F755ED2","267E6DD1BEE049BE916CC50C2F755ED2","1fa982a2-6285-41e2-b4f3-f0e5c73224db","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""267E6DD1BEE049BE916CC50C2F755ED2"",""assignmentId"":""1fa982a2-6285-41e2-b4f3-f0e5c73224db"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=267E6DD1BEE049BE916CC50C2F755ED2&assignmentId=1fa982a2-6285-41e2-b4f3-f0e5c73224db&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","267E6DD1BEE049BE916CC50C2F755ED2-2025-08-07-19-05-22","","4734","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","3",""
"","","","","","html-button-response","6","110656","0.0-4.0-2.0","267E6DD1BEE049BE916CC50C2F755ED2","267E6DD1BEE049BE916CC50C2F755ED2","1fa982a2-6285-41e2-b4f3-f0e5c73224db","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""267E6DD1BEE049BE916CC50C2F755ED2"",""assignmentId"":""1fa982a2-6285-41e2-b4f3-f0e5c73224db"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=267E6DD1BEE049BE916CC50C2F755ED2&assignmentId=1fa982a2-6285-41e2-b4f3-f0e5c73224db&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","267E6DD1BEE049BE916CC50C2F755ED2-2025-08-07-19-05-22","","1942","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","118870","0.0-5.0","267E6DD1BEE049BE916CC50C2F755ED2","267E6DD1BEE049BE916CC50C2F755ED2","1fa982a2-6285-41e2-b4f3-f0e5c73224db","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""267E6DD1BEE049BE916CC50C2F755ED2"",""assignmentId"":""1fa982a2-6285-41e2-b4f3-f0e5c73224db"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=267E6DD1BEE049BE916CC50C2F755ED2&assignmentId=1fa982a2-6285-41e2-b4f3-f0e5c73224db&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","267E6DD1BEE049BE916CC50C2F755ED2-2025-08-07-19-05-22","[{""page_index"":0,""viewing_time"":3221},{""page_index"":1,""viewing_time"":4992}]","8213","","","","",""
"","","","","","image-button-response","8","124871","0.0-6.0-0.0","267E6DD1BEE049BE916CC50C2F755ED2","267E6DD1BEE049BE916CC50C2F755ED2","1fa982a2-6285-41e2-b4f3-f0e5c73224db","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""267E6DD1BEE049BE916CC50C2F755ED2"",""assignmentId"":""1fa982a2-6285-41e2-b4f3-f0e5c73224db"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=267E6DD1BEE049BE916CC50C2F755ED2&assignmentId=1fa982a2-6285-41e2-b4f3-f0e5c73224db&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","267E6DD1BEE049BE916CC50C2F755ED2-2025-08-07-19-05-22","","null","","images/instructions/movie_0.png","null","",""
"","","","","","image-button-response","9","129371","0.0-6.0-1.0-0.0","267E6DD1BEE049BE916CC50C2F755ED2","267E6DD1BEE049BE916CC50C2F755ED2","1fa982a2-6285-41e2-b4f3-f0e5c73224db","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""267E6DD1BEE049BE916CC50C2F755ED2"",""assignmentId"":""1fa982a2-6285-41e2-b4f3-f0e5c73224db"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=267E6DD1BEE049BE916CC50C2F755ED2&assignmentId=1fa982a2-6285-41e2-b4f3-f0e5c73224db&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","267E6DD1BEE049BE916CC50C2F755ED2-2025-08-07-19-05-22","","null","","images/instructions/movie_1.png","null","",""
"","","","","","image-button-response","10","131462","0.0-6.0-1.0-1.0","267E6DD1BEE049BE916CC50C2F755ED2","267E6DD1BEE049BE916CC50C2F755ED2","1fa982a2-6285-41e2-b4f3-f0e5c73224db","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""267E6DD1BEE049BE916CC50C2F755ED2"",""assignmentId"":""1fa982a2-6285-41e2-b4f3-f0e5c73224db"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=267E6DD1BEE049BE916CC50C2F755ED2&assignmentId=1fa982a2-6285-41e2-b4f3-f0e5c73224db&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","267E6DD1BEE049BE916CC50C2F755ED2-2025-08-07-19-05-22","","2090","","images/instructions/movie_1.png","0","",""
"","","","","","image-button-response","11","133263","0.0-6.0-1.0-2.0","267E6DD1BEE049BE916CC50C2F755ED2","267E6DD1BEE049BE916CC50C2F755ED2","1fa982a2-6285-41e2-b4f3-f0e5c73224db","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""267E6DD1BEE049BE916CC50C2F755ED2"",""assignmentId"":""1fa982a2-6285-41e2-b4f3-f0e5c73224db"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=267E6DD1BEE049BE916CC50C2F755ED2&assignmentId=1fa982a2-6285-41e2-b4f3-f0e5c73224db&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","267E6DD1BEE049BE916CC50C2F755ED2-2025-08-07-19-05-22","","null","","[]","null","",""
"","","","","","image-button-response","12","137768","0.0-6.0-1.0-0.1","267E6DD1BEE049BE916CC50C2F755ED2","267E6DD1BEE049BE916CC50C2F755ED2","1fa982a2-6285-41e2-b4f3-f0e5c73224db","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""267E6DD1BEE049BE916CC50C2F755ED2"",""assignmentId"":""1fa982a2-6285-41e2-b4f3-f0e5c73224db"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=267E6DD1BEE049BE916CC50C2F755ED2&assignmentId=1fa982a2-6285-41e2-b4f3-f0e5c73224db&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","267E6DD1BEE049BE916CC50C2F755ED2-2025-08-07-19-05-22","","null","","images/instructions/movie_2.png","null","",""
"","","","","","image-button-response","13","140594","0.0-6.0-1.0-1.1","267E6DD1BEE049BE916CC50C2F755ED2","267E6DD1BEE049BE916CC50C2F755ED2","1fa982a2-6285-41e2-b4f3-f0e5c73224db","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""267E6DD1BEE049BE916CC50C2F755ED2"",""assignmentId"":""1fa982a2-6285-41e2-b4f3-f0e5c73224db"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=267E6DD1BEE049BE916CC50C2F755ED2&assignmentId=1fa982a2-6285-41e2-b4f3-f0e5c73224db&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","267E6DD1BEE049BE916CC50C2F755ED2-2025-08-07-19-05-22","","2824","","images/instructions/movie_2.png","0","",""
"","","","","","image-button-response","14","142396","0.0-6.0-1.0-2.1","267E6DD1BEE049BE916CC50C2F755ED2","267E6DD1BEE049BE916CC50C2F755ED2","1fa982a2-6285-41e2-b4f3-f0e5c73224db","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""267E6DD1BEE049BE916CC50C2F755ED2"",""assignmentId"":""1fa982a2-6285-41e2-b4f3-f0e5c73224db"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=267E6DD1BEE049BE916CC50C2F755ED2&assignmentId=1fa982a2-6285-41e2-b4f3-f0e5c73224db&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","267E6DD1BEE049BE916CC50C2F755ED2-2025-08-07-19-05-22","","null","","[]","null","",""
"","","","","","image-button-response","15","146898","0.0-6.0-1.0-0.2","267E6DD1BEE049BE916CC50C2F755ED2","267E6DD1BEE049BE916CC50C2F755ED2","1fa982a2-6285-41e2-b4f3-f0e5c73224db","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""267E6DD1BEE049BE916CC50C2F755ED2"",""assignmentId"":""1fa982a2-6285-41e2-b4f3-f0e5c73224db"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=267E6DD1BEE049BE916CC50C2F755ED2&assignmentId=1fa982a2-6285-41e2-b4f3-f0e5c73224db&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","267E6DD1BEE049BE916CC50C2F755ED2-2025-08-07-19-05-22","","null","","images/instructions/movie_3.png","null","",""
"","","","","","image-button-response","16","147966","0.0-6.0-1.0-1.2","267E6DD1BEE049BE916CC50C2F755ED2","267E6DD1BEE049BE916CC50C2F755ED2","1fa982a2-6285-41e2-b4f3-f0e5c73224db","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""267E6DD1BEE049BE916CC50C2F755ED2"",""assignmentId"":""1fa982a2-6285-41e2-b4f3-f0e5c73224db"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=267E6DD1BEE049BE916CC50C2F755ED2&assignmentId=1fa982a2-6285-41e2-b4f3-f0e5c73224db&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","267E6DD1BEE049BE916CC50C2F755ED2-2025-08-07-19-05-22","","1068","","images/instructions/movie_3.png","0","",""
"","","","","","image-button-response","17","149771","0.0-6.0-1.0-2.2","267E6DD1BEE049BE916CC50C2F755ED2","267E6DD1BEE049BE916CC50C2F755ED2","1fa982a2-6285-41e2-b4f3-f0e5c73224db","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""267E6DD1BEE049BE916CC50C2F755ED2"",""assignmentId"":""1fa982a2-6285-41e2-b4f3-f0e5c73224db"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=267E6DD1BEE049BE916CC50C2F755ED2&assignmentId=1fa982a2-6285-41e2-b4f3-f0e5c73224db&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","267E6DD1BEE049BE916CC50C2F755ED2-2025-08-07-19-05-22","","null","","[]","null","",""
"","","","","","image-button-response","18","154274","0.0-6.0-1.0-0.3","267E6DD1BEE049BE916CC50C2F755ED2","267E6DD1BEE049BE916CC50C2F755ED2","1fa982a2-6285-41e2-b4f3-f0e5c73224db","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""267E6DD1BEE049BE916CC50C2F755ED2"",""assignmentId"":""1fa982a2-6285-41e2-b4f3-f0e5c73224db"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=267E6DD1BEE049BE916CC50C2F755ED2&assignmentId=1fa982a2-6285-41e2-b4f3-f0e5c73224db&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","267E6DD1BEE049BE916CC50C2F755ED2-2025-08-07-19-05-22","","null","","images/instructions/movie_4.png","null","",""
"","","","","","image-button-response","19","155508","0.0-6.0-1.0-1.3","267E6DD1BEE049BE916CC50C2F755ED2","267E6DD1BEE049BE916CC50C2F755ED2","1fa982a2-6285-41e2-b4f3-f0e5c73224db","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""267E6DD1BEE049BE916CC50C2F755ED2"",""assignmentId"":""1fa982a2-6285-41e2-b4f3-f0e5c73224db"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=267E6DD1BEE049BE916CC50C2F755ED2&assignmentId=1fa982a2-6285-41e2-b4f3-f0e5c73224db&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","267E6DD1BEE049BE916CC50C2F755ED2-2025-08-07-19-05-22","","1234","","images/instructions/movie_4.png","0","",""
"","","","","","image-button-response","20","157320","0.0-6.0-1.0-2.3","267E6DD1BEE049BE916CC50C2F755ED2","267E6DD1BEE049BE916CC50C2F755ED2","1fa982a2-6285-41e2-b4f3-f0e5c73224db","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""267E6DD1BEE049BE916CC50C2F755ED2"",""assignmentId"":""1fa982a2-6285-41e2-b4f3-f0e5c73224db"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=267E6DD1BEE049BE916CC50C2F755ED2&assignmentId=1fa982a2-6285-41e2-b4f3-f0e5c73224db&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","267E6DD1BEE049BE916CC50C2F755ED2-2025-08-07-19-05-22","","null","","[]","null","",""
"","","","","","instructions","21","162682","0.0-7.0","267E6DD1BEE049BE916CC50C2F755ED2","267E6DD1BEE049BE916CC50C2F755ED2","1fa982a2-6285-41e2-b4f3-f0e5c73224db","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""267E6DD1BEE049BE916CC50C2F755ED2"",""assignmentId"":""1fa982a2-6285-41e2-b4f3-f0e5c73224db"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=267E6DD1BEE049BE916CC50C2F755ED2&assignmentId=1fa982a2-6285-41e2-b4f3-f0e5c73224db&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","267E6DD1BEE049BE916CC50C2F755ED2-2025-08-07-19-05-22","[{""page_index"":0,""viewing_time"":4629},{""page_index"":1,""viewing_time"":733}]","5362","","","","",""
"","","","","","html-audio-response","22","193218","0.0-8.0","267E6DD1BEE049BE916CC50C2F755ED2","267E6DD1BEE049BE916CC50C2F755ED2","1fa982a2-6285-41e2-b4f3-f0e5c73224db","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""267E6DD1BEE049BE916CC50C2F755ED2"",""assignmentId"":""1fa982a2-6285-41e2-b4f3-f0e5c73224db"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=267E6DD1BEE049BE916CC50C2F755ED2&assignmentId=1fa982a2-6285-41e2-b4f3-f0e5c73224db&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","267E6DD1BEE049BE916CC50C2F755ED2-2025-08-07-19-05-22","","13831","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw, as many as you can remember. The images can be said in any order.</p>""]","","1",""
"","","","","","instructions","23","195070","0.0-9.0","267E6DD1BEE049BE916CC50C2F755ED2","267E6DD1BEE049BE916CC50C2F755ED2","1fa982a2-6285-41e2-b4f3-f0e5c73224db","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""267E6DD1BEE049BE916CC50C2F755ED2"",""assignmentId"":""1fa982a2-6285-41e2-b4f3-f0e5c73224db"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=267E6DD1BEE049BE916CC50C2F755ED2&assignmentId=1fa982a2-6285-41e2-b4f3-f0e5c73224db&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","267E6DD1BEE049BE916CC50C2F755ED2-2025-08-07-19-05-22","[{""page_index"":0,""viewing_time"":1849}]","1849","","","","",""
"","","","","","image-button-response","24","201085","0.0-10.0-0.0","267E6DD1BEE049BE916CC50C2F755ED2","267E6DD1BEE049BE916CC50C2F755ED2","1fa982a2-6285-41e2-b4f3-f0e5c73224db","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""267E6DD1BEE049BE916CC50C2F755ED2"",""assignmentId"":""1fa982a2-6285-41e2-b4f3-f0e5c73224db"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=267E6DD1BEE049BE916CC50C2F755ED2&assignmentId=1fa982a2-6285-41e2-b4f3-f0e5c73224db&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","267E6DD1BEE049BE916CC50C2F755ED2-2025-08-07-19-05-22","","null","","images/causal_sequence/package_causal/package_causal_0.png","null","",""
"","","","","","image-button-response","25","205595","0.0-10.0-1.0-0.0","267E6DD1BEE049BE916CC50C2F755ED2","267E6DD1BEE049BE916CC50C2F755ED2","1fa982a2-6285-41e2-b4f3-f0e5c73224db","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""267E6DD1BEE049BE916CC50C2F755ED2"",""assignmentId"":""1fa982a2-6285-41e2-b4f3-f0e5c73224db"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=267E6DD1BEE049BE916CC50C2F755ED2&assignmentId=1fa982a2-6285-41e2-b4f3-f0e5c73224db&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","267E6DD1BEE049BE916CC50C2F755ED2-2025-08-07-19-05-22","","null","","images/causal_sequence/package_causal/package_causal_1.png","null","",""
"","","","","","image-button-response","26","207132","0.0-10.0-1.0-1.0","267E6DD1BEE049BE916CC50C2F755ED2","267E6DD1BEE049BE916CC50C2F755ED2","1fa982a2-6285-41e2-b4f3-f0e5c73224db","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""267E6DD1BEE049BE916CC50C2F755ED2"",""assignmentId"":""1fa982a2-6285-41e2-b4f3-f0e5c73224db"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=267E6DD1BEE049BE916CC50C2F755ED2&assignmentId=1fa982a2-6285-41e2-b4f3-f0e5c73224db&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","267E6DD1BEE049BE916CC50C2F755ED2-2025-08-07-19-05-22","","1536","","images/causal_sequence/package_causal/package_causal_1.png","0","",""
