"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","13985","0.0-0.0","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","","","","","",""
"","","","","","instructions","1","810053","0.0-1.0","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","[{""page_index"":0,""viewing_time"":796090}]","796090","","","","",""
"","","","","","instructions","2","821951","0.0-2.0","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","[{""page_index"":0,""viewing_time"":11896}]","11896","","","","",""
"true","","","","","fullscreen","3","824333","0.0-3.0","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","1380","","","","",""
"","","","","","initialize-microphone","4","827659","0.0-4.0-0.0","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","","7f2875f8da9979a1cdf03ac7e23aa52c4cb5926bc556cd2e182fd0cf3af9c20a","","","",""
"","","","","","html-audio-response","5","838678","0.0-4.0-1.0","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","3374","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","2",""
"","","","","","html-button-response","6","839831","0.0-4.0-2.0","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","1151","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","845648","0.0-5.0","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","[{""page_index"":0,""viewing_time"":2085},{""page_index"":1,""viewing_time"":3732}]","5817","","","","",""
"","","","","","image-button-response","8","851652","0.0-6.0-0.0","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","null","","images/instructions/movie_0.png","null","",""
"","","","","","image-button-response","9","856155","0.0-6.0-1.0-0.0","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","null","","images/instructions/movie_1.png","null","",""
"","","","","","image-button-response","10","858281","0.0-6.0-1.0-1.0","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","2124","","images/instructions/movie_1.png","0","",""
"","","","","","image-button-response","11","860085","0.0-6.0-1.0-2.0","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","null","","[]","null","",""
"","","","","","image-button-response","12","864592","0.0-6.0-1.0-0.1","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","null","","images/instructions/movie_2.png","null","",""
"","","","","","image-button-response","13","866643","0.0-6.0-1.0-1.1","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","2043","","images/instructions/movie_2.png","0","",""
"","","","","","image-button-response","14","868446","0.0-6.0-1.0-2.1","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","null","","[]","null","",""
"","","","","","image-button-response","15","872955","0.0-6.0-1.0-0.2","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","null","","images/instructions/movie_3.png","null","",""
"","","","","","image-button-response","16","874052","0.0-6.0-1.0-1.2","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","1093","","images/instructions/movie_3.png","0","",""
"","","","","","image-button-response","17","875855","0.0-6.0-1.0-2.2","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","null","","[]","null","",""
"","","","","","image-button-response","18","880366","0.0-6.0-1.0-0.3","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","null","","images/instructions/movie_4.png","null","",""
"","","","","","image-button-response","19","882309","0.0-6.0-1.0-1.3","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","1939","","images/instructions/movie_4.png","0","",""
"","","","","","image-button-response","20","884114","0.0-6.0-1.0-2.3","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","null","","[]","null","",""
"","","","","","instructions","21","888856","0.0-7.0","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","[{""page_index"":0,""viewing_time"":3619},{""page_index"":1,""viewing_time"":1122}]","4741","","","","",""
"","","","","","html-audio-response","22","906733","0.0-8.0","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","12726","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw, as many as you can remember. The images can be said in any order.</p>""]","","1",""
"","","","","","instructions","23","907756","0.0-9.0","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","[{""page_index"":0,""viewing_time"":1016}]","1016","","","","",""
"","","","","","image-button-response","24","913761","0.0-10.0-0.0","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","null","","images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_0.png","null","",""
"","","","","","image-button-response","25","918268","0.0-10.0-1.0-0.0","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","null","","images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_1.png","null","",""
"","","","","","image-button-response","26","919399","0.0-10.0-1.0-1.0","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","1128","","images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_1.png","0","",""
"","","","","","image-button-response","27","921208","0.0-10.0-1.0-2.0","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","null","","[]","null","",""
"","","","","","image-button-response","28","925715","0.0-10.0-1.0-0.1","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","null","","images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_2.png","null","",""
"","","","","","image-button-response","29","926660","0.0-10.0-1.0-1.1","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","941","","images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_2.png","0","",""
"","","","","","image-button-response","30","928465","0.0-10.0-1.0-2.1","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","null","","[]","null","",""
"","","","","","image-button-response","31","932975","0.0-10.0-1.0-0.2","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","null","","images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_3.png","null","",""
"","","","","","image-button-response","32","934382","0.0-10.0-1.0-1.2","E0710E40E06545068AC6FAE1ABDB3983","E0710E40E06545068AC6FAE1ABDB3983","c45934ee-c8a3-4296-aee9-9f2ef82fe41c","a0a8f18c-a66e-4ba7-a170-23efbdc67501","{""participantId"":""E0710E40E06545068AC6FAE1ABDB3983"",""assignmentId"":""c45934ee-c8a3-4296-aee9-9f2ef82fe41c"",""projectId"":""a0a8f18c-a66e-4ba7-a170-23efbdc67501""}","https://test12345.live/?participantId=E0710E40E06545068AC6FAE1ABDB3983&assignmentId=c45934ee-c8a3-4296-aee9-9f2ef82fe41c&projectId=a0a8f18c-a66e-4ba7-a170-23efbdc67501","E0710E40E06545068AC6FAE1ABDB3983-2024-11-24-18-58-49","","1404","","images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_3.png","0","",""
